epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.565,0.40574,1.62673,0.86484,0.98794,0.99543,0.99455,0.98149,0.26895,1.78647,0.93768,0.000468651,0.000468651,0.000468651
2,709.382,0.34132,0.81878,0.83438,0.99514,0.99543,0.99243,0.965,0.28403,0.93432,0.93936,0.000926273,0.000926273,0.000926273
3,1045.28,0.34489,0.65228,0.83205,0.99315,0.99543,0.99446,0.96211,0.29339,0.71959,0.94192,0.00136503,0.00136503,0.00136503
4,1334.38,0.34819,0.58132,0.83772,0.9949,0.99543,0.9917,0.96727,0.30112,0.64975,0.94114,0.00134412,0.00134412,0.00134412
5,1611.76,0.32171,0.48719,0.82848,0.9953,0.99543,0.99402,0.99286,0.21163,0.43172,0.93195,0.00131582,0.00131582,0.00131582
6,1884.67,0.30976,0.44038,0.83094,0.9952,0.99543,0.99479,0.99335,0.183,0.35837,0.92988,0.00128753,0.00128753,0.00128753
7,2177.78,0.28462,0.38444,0.82285,0.99556,0.9957,0.99227,0.99021,0.1693,0.33195,0.92806,0.00125923,0.00125923,0.00125923
8,2467.75,0.28016,0.34952,0.82772,0.99511,0.99543,0.99367,0.99274,0.20208,0.28207,0.93147,0.00123094,0.00123094,0.00123094
9,2745.2,0.27296,0.32723,0.82347,0.99529,0.99543,0.99111,0.99111,0.13145,0.19343,0.92567,0.00120265,0.00120265,0.00120265
10,3024.3,0.25326,0.31166,0.8265,0.99497,0.99543,0.99116,0.99116,0.15628,0.20061,0.92752,0.00117435,0.00117435,0.00117435
11,3302.95,0.24997,0.29734,0.82293,0.99507,0.99543,0.98777,0.98426,0.18948,0.22541,0.93019,0.00114606,0.00114606,0.00114606
12,3578.75,0.25191,0.27137,0.82254,0.99525,0.99543,0.99307,0.99049,0.14443,0.17522,0.92852,0.00111776,0.00111776,0.00111776
13,3852.65,0.24206,0.26911,0.81972,0.99514,0.99543,0.9927,0.9903,0.16831,0.1742,0.92844,0.00108947,0.00108947,0.00108947
14,4126.94,0.2263,0.25235,0.81896,0.99526,0.99543,0.99224,0.99224,0.14746,0.16219,0.92814,0.00106118,0.00106118,0.00106118
15,4403.87,0.23354,0.26372,0.82029,0.99523,0.99543,0.9926,0.99225,0.16103,0.17138,0.92928,0.00103288,0.00103288,0.00103288
16,4679.06,0.23266,0.24481,0.81529,0.99529,0.99543,0.99431,0.99099,0.13088,0.19537,0.9277,0.00100459,0.00100459,0.00100459
17,4952.85,0.21774,0.23909,0.82194,0.99526,0.99543,0.99495,0.99385,0.10759,0.13547,0.92447,0.000976293,0.000976293,0.000976293
18,5228,0.22482,0.24967,0.82468,0.99553,0.99568,0.995,0.99283,0.11201,0.12513,0.92439,0.000947999,0.000947999,0.000947999
19,5502.84,0.21743,0.2295,0.81852,0.99528,0.99543,0.98992,0.98735,0.1267,0.14443,0.92611,0.000919704,0.000919704,0.000919704
20,5778.82,0.21053,0.22119,0.81947,0.99527,0.99543,0.99008,0.98917,0.10721,0.13598,0.92485,0.00089141,0.00089141,0.00089141
21,6053.85,0.20843,0.21174,0.81645,0.99527,0.99543,0.99187,0.99187,0.1161,0.13142,0.92463,0.000863116,0.000863116,0.000863116
22,6329.01,0.20492,0.21711,0.81566,0.99531,0.99543,0.99249,0.99134,0.10015,0.12155,0.92451,0.000834822,0.000834822,0.000834822
